TransactionID,TransactionDate,CustomerID,Amount
1,9/4/2012,1,20.26
2,5/15/2012,2,10.87
3,5/23/2014,2,2.21
4,10/24/2014,2,10.48
5,10/13/2012,2,3.94
6,1/23/2013,2,12.37
7,3/9/2014,2,1.59
8,11/17/2013,2,2.75
9,10/10/2014,2,3.51
10,11/26/2012,3,21.58
11,3/14/2013,3,15.43
12,3/10/2014,3,5.45
13,4/28/2015,3,1.67
14,10/8/2014,3,2.23
15,3/20/2013,3,9.92
16,8/10/2015,3,6.16
17,7/7/2015,4,0.54
18,1/24/2015,5,14.54
19,4/11/2015,5,6.9
20,2/7/2013,6,2.56
21,8/16/2012,7,17.02
22,2/1/2013,7,8.18
23,10/5/2012,7,9.44
24,10/7/2011,7,1003
25,1/23/2012,8,6.21
26,10/18/2013,8,2.35
27,12/14/2015,8,0.52
28,6/9/2014,8,6.58
29,2/4/2010,9,0.74
30,5/23/2014,9,11.87
31,12/6/2010,9,15.5
32,9/14/2011,9,11.46
33,7/12/2014,9,7.99
34,8/26/2010,9,2.97
35,9/17/2010,10,12.37
36,3/9/2015,10,5.99
37,2/23/2014,11,0.95
38,3/18/2014,11,8.81
39,5/27/2014,11,10.94
40,7/26/2011,12,20.21
41,9/14/2011,12,12.97
42,8/23/2013,12,4.78
43,11/18/2015,12,2.4
44,9/28/2011,12,13.91
45,5/25/2015,12,17.6
46,5/9/2011,13,0.5
47,9/29/2012,13,10.21
48,10/22/2013,13,5.1
49,8/24/2012,13,16.46
50,5/12/2012,13,-1
51,6/11/2011,13,9.67
52,4/13/2012,13,7.08
53,5/7/2013,13,14.45
54,7/31/2014,13,10.63
55,1/29/2015,13,37.27
56,7/21/2012,13,20.44
57,12/17/2013,13,7.84
58,6/29/2012,13,2.05
59,6/22/2014,13,0.36
60,3/18/2012,13,3.43
61,9/6/2014,13,4.78
62,2/16/2013,13,1.29
63,1/21/2012,14,28.72
64,10/6/2013,14,0.86
65,11/11/2013,14,9.22
66,9/10/2014,15,6.63
67,8/8/2015,15,1.85
68,3/19/2015,15,0.6
69,1/31/2015,15,2.69
70,9/28/2014,15,17.84
71,1/22/2015,16,6
72,3/21/2015,16,2.51
73,9/27/2015,16,8.34
74,8/22/2015,16,11.32
75,8/25/2014,17,10.8
76,10/10/2015,17,18.33
77,9/5/2015,17,6.01
78,4/28/2012,18,11.01
79,11/22/2013,18,15.04
80,5/24/2013,18,0.21
81,8/20/2013,18,18.05
82,9/19/2012,18,4.53
83,6/15/2014,18,6.24
84,6/18/2013,18,8.38
85,10/26/2010,19,3.67
86,3/1/2011,19,19.6
87,7/1/2014,19,4.55
88,5/27/2015,20,1.5
89,9/2/2015,20,0.49
90,5/26/2013,21,14.07
91,8/4/2013,21,10.33
92,2/11/2015,21,5.81
93,11/17/2014,21,15.92
94,11/25/2013,21,10.72
95,5/12/2015,21,9.36
96,4/5/2010,22,5.03
97,12/6/2012,23,2.26
98,5/9/2013,23,10.95
99,9/1/2014,23,0.19
100,8/20/2013,23,4.43
101,3/26/2014,23,2.47
102,2/10/2012,24,8.23
103,9/6/2014,24,7.73
104,12/4/2012,24,5.62
105,2/13/2015,24,6.98
106,3/1/2014,24,5.68
107,10/19/2013,24,13.45
108,3/2/2014,24,5.35
109,10/26/2015,25,14.47
110,9/27/2014,26,3.45
111,7/31/2013,27,3.9
112,8/16/2013,27,1.18
113,6/25/2014,27,2.81
114,11/9/2013,27,4.68
115,8/6/2014,27,7.66
116,2/22/2012,28,9.32
117,7/21/2014,29,0.96
118,7/27/2011,30,1.81
119,10/13/2015,30,9.93
120,2/12/2012,30,3.27
121,12/6/2015,30,0.52
122,2/16/2015,30,5.14
123,12/18/2012,31,3.95
124,1/30/2014,31,9.81
125,9/11/2015,31,10.26
126,10/4/2014,32,10.91
127,1/22/2015,32,12.28
128,11/30/2014,32,21.13
129,8/29/2012,33,2.78
130,10/14/2013,33,13.44
131,10/25/2015,33,1.77
132,5/26/2014,33,2.65
133,1/1/2012,34,12.03
134,9/1/2015,34,4.92
135,3/28/2015,34,1.91
136,4/25/2013,34,13.82
137,2/15/2014,34,25.6
138,8/3/2014,34,2.47
139,12/14/2015,34,5.02
140,6/21/2013,34,2.23
141,7/24/2014,34,12.3
142,7/25/2012,34,12.82
143,10/3/2013,35,2.74
144,10/13/2014,35,0.25
145,10/27/2010,36,9.72
146,10/23/2014,36,4.3
147,12/19/2013,36,2.45
148,9/29/2013,36,4.78
149,9/15/2015,36,11.75
150,1/21/2013,36,0.94
151,6/26/2014,36,8.21
152,4/17/2013,37,2.99
153,6/7/2015,37,0.04
154,7/14/2014,37,9.51
155,4/7/2014,37,12.7
156,8/5/2015,37,11.29
157,3/24/2015,37,4.83
158,3/7/2014,37,2.3
159,2/13/2015,37,5.52
160,7/13/2015,38,6
161,12/16/2015,38,7.18
162,8/29/2011,39,12.39
163,7/4/2015,40,17.82
164,12/23/2011,41,0.75
165,9/11/2012,41,3.47
166,1/20/2014,41,29.12
167,2/23/2013,41,8.49
168,12/29/2012,41,3.49
169,11/7/2010,42,11.57
170,11/1/2014,42,3.27
171,9/8/2013,43,9.8
172,12/16/2014,43,14.94
173,5/31/2014,43,4.97
174,4/15/2012,44,0.73
175,10/26/2013,44,3.69
176,11/4/2013,44,11.4
177,8/9/2014,44,22.53
178,8/5/2014,45,19.95
179,1/13/2015,46,11.39
180,1/23/2014,47,1.55
181,3/6/2014,47,11.12
182,11/20/2015,47,10.66
183,10/25/2015,47,2.61
184,9/1/2015,47,5.97
185,4/6/2015,47,24.05
186,11/9/2010,48,8.91
187,4/10/2014,48,9.77
188,1/3/2013,48,1.43
189,5/9/2012,48,5.9
190,6/17/2014,48,8.11
191,9/17/2015,48,8.19
192,8/26/2014,48,4.57
193,12/24/2014,48,12.2
194,1/25/2012,48,13.24
195,4/7/2011,48,8.23
196,6/10/2013,49,12.61
197,11/18/2014,49,5.28
198,1/25/2014,49,1.08
199,10/28/2014,49,10.12
200,7/29/2015,50,22.84
201,7/22/2013,51,10.19
202,6/7/2015,51,5.4
203,8/20/2013,52,10.49
204,2/15/2015,52,7.83
205,3/1/2014,52,7.85
206,1/26/2015,52,1.57
207,11/19/2015,52,0.96
208,5/5/2014,53,8.83
209,2/26/2014,54,1.92
210,11/12/2014,54,0.25
211,5/1/2015,54,13.85
212,5/14/2014,54,1027
213,11/12/2015,55,11.6
214,10/18/2011,56,15.1
215,2/23/2013,56,5.49
216,12/27/2011,56,0.9
217,11/12/2014,56,6.69
218,5/15/2012,56,7.21
219,11/3/2012,56,8.09
220,1/1/2013,56,11.61
221,9/19/2012,56,10.48
222,3/15/2010,57,1.64
223,12/4/2012,57,6.58
224,5/30/2013,57,10.76
225,2/15/2012,57,5.55
226,1/22/2012,57,9.96
227,3/27/2010,58,3.54
228,5/10/2012,58,3.35
229,6/15/2012,58,10.64
230,1/19/2011,58,2.64
231,10/31/2014,58,6.97
232,9/8/2011,58,5.81
233,8/12/2012,58,3.89
234,12/12/2012,58,8.67
235,3/3/2011,59,6.93
236,2/19/2012,59,3.54
237,3/17/2014,59,9.49
238,3/22/2014,59,9.6
239,3/5/2015,59,13.92
240,4/13/2010,60,12.23
241,8/29/2015,61,3.45
242,1/31/2015,62,5.86
243,9/11/2015,62,14.74
244,2/26/2015,62,13.46
245,5/16/2013,63,12.79
246,7/6/2015,63,13.33
247,3/7/2015,63,4.43
248,5/6/2015,64,7.21
249,9/25/2015,64,4.26
250,7/10/2015,64,7.49
251,5/8/2012,65,4.95
252,9/7/2013,65,3.47
253,9/14/2015,65,0.39
254,8/5/2012,65,1.35
255,8/7/2015,65,0.78
256,10/28/2015,65,1.25
257,12/9/2013,65,11.74
258,2/25/2014,65,14.2
259,8/31/2012,65,4.82
260,9/8/2013,65,0.45
261,9/18/2015,66,0.54
262,9/16/2014,67,3.4
263,6/26/2015,68,23.85
264,6/21/2012,69,38.29
265,9/27/2012,69,9.18
266,8/17/2015,69,4.4
267,8/12/2012,70,10.8
268,5/3/2014,70,0.37
269,6/20/2013,70,7.33
270,10/26/2012,70,23.95
271,12/16/2013,70,6.29
272,5/25/2014,70,11.83
273,3/31/2014,70,2.19
274,12/23/2014,70,11.66
275,7/5/2015,71,13.09
276,10/20/2011,72,2.43
277,12/7/2014,72,7.57
278,1/2/2012,72,0.58
279,11/24/2012,72,3.44
280,3/30/2013,72,17.72
281,7/1/2015,72,2.65
282,7/10/2015,72,7.73
283,11/18/2015,72,7.28
284,3/3/2012,72,4.49
285,11/17/2011,73,5.71
286,4/10/2014,73,4.48
287,10/25/2014,73,4.58
288,11/20/2013,73,8.43
289,12/3/2012,73,7.38
290,11/29/2012,73,9.06
291,12/19/2013,73,6.85
292,10/31/2012,73,14.21
293,8/2/2015,73,10.67
294,11/12/2014,73,9.45
295,12/27/2012,73,0.87
296,3/4/2013,73,1.22
297,11/24/2012,73,18.42
298,11/10/2014,73,14.44
299,12/2/2013,73,0.32
300,4/29/2015,73,9.08
301,12/22/2012,74,0.76
302,3/2/2015,74,20.58
303,5/16/2013,74,7.6
304,1/11/2015,74,9.41
305,4/30/2013,75,3.09
306,7/4/2015,76,11.88
307,1/4/2013,77,3.83
308,8/26/2014,77,5.01
309,5/31/2010,78,4.63
310,2/6/2014,78,11.55
311,5/28/2011,79,10.93
312,8/27/2014,79,1.5
313,12/20/2015,79,9.3
314,12/7/2013,79,1.82
315,8/24/2011,80,15.37
316,4/30/2014,80,6.61
317,8/31/2015,80,2.15
318,11/11/2014,80,2.26
319,6/1/2011,81,3.02
320,10/23/2011,81,2.18
321,7/11/2014,82,4.59
322,7/16/2015,82,3.64
323,7/26/2015,82,8.31
324,7/19/2012,83,10.43
325,11/22/2015,83,0.71
326,2/28/2014,83,2.79
327,9/21/2012,83,14.85
328,5/27/2014,83,14.05
329,12/2/2015,83,3.65
330,7/22/2012,84,3.46
331,8/14/2012,84,24.27
332,5/30/2013,84,17.48
333,3/27/2015,84,1.78
334,7/18/2014,84,3.95
335,3/14/2015,84,1.78
336,10/29/2013,84,8.99
337,9/22/2013,84,0.25
338,11/27/2013,84,21.01
339,6/15/2015,85,3.17
340,6/4/2010,86,14.72
341,11/1/2013,87,3.72
342,6/25/2015,87,2.63
343,1/6/2015,87,2.86
344,5/10/2012,88,2.84
345,4/10/2013,88,7.68
346,4/18/2015,88,3.59
347,5/10/2014,88,4.58
348,12/5/2012,88,1.19
349,9/10/2012,88,13.06
350,1/2/2014,88,3.13
351,10/20/2014,89,20.02
352,5/4/2015,89,7.78
353,10/19/2015,89,4.62
354,10/16/2015,89,0.2
355,4/2/2015,89,4.57
356,9/2/2013,90,13.4
357,6/16/2014,90,18.19
358,10/13/2015,90,2.64
359,11/16/2015,90,4.78
360,9/13/2014,90,11.29
361,9/7/2014,91,6.41
362,1/9/2012,92,5.53
363,3/12/2013,93,4.69
364,8/21/2015,93,17.4
365,3/27/2013,93,4.99
366,3/25/2013,93,12.51
367,9/9/2015,93,13.34
368,12/13/2014,93,7.28
369,3/3/2010,94,10.16
370,1/14/2011,94,17.93
371,8/12/2010,94,8.84
372,10/27/2011,94,13.46
373,4/25/2014,94,13.08
374,9/4/2010,94,10.89
375,5/2/2013,94,29.5
376,6/10/2014,94,7.67
377,11/21/2014,94,12.06
378,7/12/2011,94,20.04
379,1/29/2012,94,1.06
380,7/4/2011,95,0.59
381,9/21/2012,95,3.53
382,8/3/2011,95,6.33
383,5/5/2013,95,10.5
384,2/2/2012,95,3.74
385,6/9/2014,95,17.78
386,12/20/2014,95,16.45
387,6/20/2012,95,0.13
388,12/12/2014,95,8.1
389,7/9/2013,95,0.05
390,12/25/2014,95,15.64
391,3/20/2011,96,5
392,7/5/2012,96,10.79
393,6/20/2014,96,0.2
394,11/29/2013,96,5.22
395,10/27/2014,96,15.57
396,9/20/2014,96,8.57
397,4/2/2012,96,10.85
398,6/28/2013,96,3.48
399,5/24/2013,96,21.98
400,5/23/2015,96,20.62
401,6/4/2011,96,20.69
402,9/22/2012,96,4.55
403,11/20/2012,96,8.29
404,10/20/2015,97,0.47
405,5/16/2010,98,18.13
406,6/12/2011,98,2.08
407,7/21/2011,98,9.48
408,8/1/2012,98,9.17
409,5/10/2013,98,3.3
410,4/3/2011,98,8.2
411,12/28/2015,98,15.19
412,5/28/2010,98,0.91
413,9/16/2015,98,2.01
414,7/5/2012,99,3.89
415,6/27/2014,99,7.47
416,8/28/2013,99,0.11
417,10/29/2013,99,8.85
418,1/15/2011,100,8.18
419,12/31/2013,100,30.31
420,5/15/2013,100,5.16
421,10/9/2011,101,4.11
422,7/13/2012,101,10.09
423,6/30/2011,102,9.81
424,5/15/2013,102,10.69
425,2/28/2012,102,4.71
426,5/20/2014,102,16.06
427,11/27/2011,102,1.71
428,6/6/2012,102,11.56
429,5/12/2013,102,19.12
430,7/14/2012,102,14.52
431,1/19/2013,102,15.03
432,5/28/2010,103,9.05
433,12/13/2013,103,16.49
434,2/20/2011,103,3.77
435,1/28/2014,103,5.63
436,9/24/2014,103,3.49
437,1/25/2013,104,4.84
438,1/9/2015,104,5.59
439,12/15/2013,104,4.49
440,3/16/2015,104,0.82
